consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,286.3597,291.8584,0,42,42,29,1,30,DEPLORE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,291.8597,297.3585,0,43,43,28,1,29,COPIOUS,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,297.3599,302.8586,0,44,44,35,1,36,INANE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,302.8601,308.3585,0,45,45,47,1,48,PROBITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,308.3598,313.8585,0,46,46,5,1,6,SPEECH,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,313.8599,319.3586,0,47,47,22,1,23,GUARD,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,319.3677,340.1081,space,20.7128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,21,SHOCK,easy,,,,,,,,340.1182,343.2586,m,2.1063,,0,0,0,20,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,2,SOFTLY,easy,,,,,,,,343.26,345.2583,m,0.9667,,0,1,1,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,87,LEVITY,hard,,,,,,,,345.2591,347.2587,z,0.9749,,0,2,2,86,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,88,MYOPIC,hard,,,,,,,,347.2597,349.6087,z,1.3119,,0,3,3,87,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,26,PUERILE,hard,,,,,,,,349.6097,351.3421,m,0.6989,,0,4,4,25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,71,GUARD,easy,,,,,,,,351.3433,353.2743,z,0.8947,,0,5,5,70,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,89,NASCENT,hard,,,,,,,,353.2755,354.9256,m,0.6307,,0,6,6,88,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,65,SUPPER,easy,,,,,,,,354.9268,357.9254,z,1.9753,,0,7,7,64,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,28,REFUTE,hard,,,,,,,,357.9262,359.7087,m,0.7465,,0,8,8,27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,16,REGION,easy,,,,,,,,359.7096,361.7756,m,1.0309,,0,9,9,15,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,19,BRANCH,easy,,,,,,,,361.777,364.3754,m,1.5598,,0,10,10,18,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,488351,001,2026-04-14_09h59.14.114,DFv2,2026.1.1,MacIntel,57.80346821,,,,,,,,,,,,,,,,,3,ADDRESS,easy,,,,,,,,364.3763,366.2754,m,0.856,,0,11,11,2,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
